model,acc,f1,auc,val_loss,train_time_sec
DenseNet121,0.77,0.7788461538461539,0.8315,0.5336247271299362,131.88
ResNet50,0.755,0.7262569832402235,0.8419000000000001,0.6387794187664986,76.92
EfficientNetB0,0.75,0.7395833333333334,0.8364,0.5169406741857528,52.67
